"Positions for TESTACCT as of 09:30 AM ET, 11/20/2025"

Individual ...123

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Security Type",
"AAPL","APPLE INC","22","$207.00","$-1.68","-0.8%","$4,554.00","$-36.96","-0.8%","$3,850.00","$704.00","18.29%","Yes","N/A","Equity",
"GOOGL","ALPHABET INC CLASS A","13","$135.25","$2.18","1.63%","$1,758.25","$28.34","1.63%","$1,560.00","$198.25","12.71%","Yes","N/A","Equity",
"NVDA","NVIDIA CORP","7","$144.00","$3.85","2.75%","$1,008.00","$26.95","2.75%","$630.00","$378.00","60.00%","Yes","N/A","Equity",
"TSLA","TESLA INC","11","$231.80","$5.89","2.61%","$2,549.80","$64.79","2.61%","$2,200.00","$349.80","15.90%","No","N/A","Equity",
"VOO","VANGUARD S&P 500 ETF","9","$472.75","$1.27","0.27%","$4,254.75","$11.43","0.27%","$3,960.00","$294.75","7.44%","Yes","N/A","ETFs & Closed End Funds",
"VTI","VANGUARD TOTAL STK MKT ETF","18","$263.75","$0.80","0.3%","$4,747.50","$14.30","0.3%","$4,320.00","$427.50","9.90%","Yes","N/A","ETFs & Closed End Funds",
"SCHD","SCHWAB US DVD EQUITY ETF","27","$28.75","$0.05","0.16%","$776.25","$1.22","0.16%","$688.50","$87.75","12.74%","Yes","Yes","ETFs & Closed End Funds",
"VTSAX","VANGUARD TOTAL STK MKT IDX","40.750","$120.00","$0.37","0.31%","$4,890.00","$15.11","0.31%","N/A","$740.00","17.84%","Yes","Yes","Mutual Fund",
"FXAIX","FIDELITY 500 INDEX","71.050","$174.75","$0.68","0.39%","$12,415.99","$48.31","0.39%","N/A","$1,915.99","18.25%","Yes","Yes","Mutual Fund",
"BTC","BITCOIN","0.0385","$67,500.00","$1,632.00","2.48%","$2,598.75","$63.45","2.48%","$2,163.00","$435.75","20.14%","No","N/A","Cryptocurrency",
"Cash & Cash Investments","--","--","--","--","--","$7,446.71","$0.00","0%","--","--","--","--","--","Cash and Money Market",
"Account Total","","--","--","--","--","$47,000.00","$237.94","0.51%","$40,000.00","$7,000.00","17.50%","--","--","--",
