"Positions for TESTACCT as of 09:30 AM ET, 12/04/2025"

"Individual ...123"

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Security Type",""
"AAPL","APPLE INC","25","$210.50","$-1.66","-0.78%","$5,262.50","$-41.55","-0.78%","$4,125.00","$1,137.50","27.58%","Yes","N/A","Equity",""
"GOOGL","ALPHABET INC CLASS A","15","$135.20","$0.65","0.48%","$2,028.00","$9.74","0.48%","$1,875.00","$153.00","8.16%","Yes","N/A","Equity",""
"NVDA","NVIDIA CORP","8","$142.30","$1.20","0.85%","$1,138.40","$9.62","0.85%","$680.00","$458.40","67.41%","Yes","N/A","Equity",""
"TSLA","TESLA INC","12","$225.50","$1.54","0.69%","$2,706.00","$18.50","0.69%","$2,640.00","$66.00","2.50%","No","N/A","Equity",""
"VOO","VANGUARD S&P 500 ETF","10","$475.20","$4.72","1.00%","$4,752.00","$47.22","1.00%","$4,800.00","$-48.00","-1.00%","Yes","N/A","ETFs & Closed End Funds",""
"VTI","VANGUARD TOTAL STK MKT ETF","20","$270.40","$-2.15","-0.79%","$5,408.00","$-43.06","-0.79%","$5,200.00","$208.00","4.00%","Yes","N/A","ETFs & Closed End Funds",""
"SCHD","SCHWAB US DVD EQUITY ETF","30","$29.50","$-0.27","-0.91%","$885.00","$-8.18","-0.91%","$825.00","$60.00","7.27%","Yes","Yes","ETFs & Closed End Funds",""
"VTSAX","VANGUARD TOTAL STK MKT IDX","45.267","$121.80","$0.58","0.48%","$5,513.52","$26.26","0.48%","N/A","$1,102.70","20.00%","Yes","Yes","Mutual Fund",""
"FXAIX","FIDELITY 500 INDEX","78.942","$177.50","$2.61","1.49%","$14,012.20","$206.06","1.49%","N/A","$2,802.44","20.00%","Yes","Yes","Mutual Fund",""
"BTC","BITCOIN","0.0425","$64,500.00","$815.99","1.28%","$2,741.25","$34.68","1.28%","$2,550.00","$191.25","7.50%","No","N/A","Cryptocurrency",""
"Cash & Cash Investments","--","--","--","--","--","$1,250.00","$0.00","0%","--","--","--","--","--","Cash and Money Market",""
"Account Total","","--","--","--","--","$45,696.87","$259.30","0.57%","$23,945.00","$21,751.87","90.84%","--","--","--",""
